productId,Title,userId,Time,Text,Cat1,Cat2,Cat3
B000JIHP88,Fisher-Price Rainforest Peek-A-Boo Leaves Musical Mobile,AURK8ZU90SUMN,1344297600,"My son LOVES this mobile. He'll lay in his crib and coo at this mobile for 10-15 minutes no problem. It's been very useful for when I have to quickly make and eat lunch while I'm home alone.The leaves that open and close mesmerize my son and he seems to love the brightly-colored rainforest creatures. The base unit also plays pleasant classical music and has a nice, warm nightlight (both of which don't seem to do anything for my guy, though). Putting together the mobile wasn't too difficult either, considering that I managed to do it all by myself WHILE carrying my son in a front-load baby carrier. The base wouldn't screw onto the front or back of my baby's crib (Europa baby Geneva crib), but it's been fine on the side rail, closer to the backside of the crib.",baby products,nursery,unknown
B00002N60G,Rubbermaid G780-04 Pva Roller Mop,A3PVLJEU18PIG9,1344297600,THIS IS THE BEST SPONGE MOM I HAVE EVER USED- IM 50 SO IVE BEEN THRU ALOT-THIS IS SO SMOOTH TO USE-SUPER ABSORBANT AND DOES NOT LEAVE EDGE STREAKS LIKE MOST SPONGE MOPS DO- I WILL CONTINUE TO USE THIS MOP UNTIL ITS OUT OF PRODUCTION- IM ORDERING EXTRAS TO PUT BACK IN CASE THEY BECOME NO LONGER AVAILABLE--****THIS IS A SPONGE MOP LIKE NO OTHER*** AND 5 STARS DOES IT NO JUSTICE-ID GIVE IT 10 STARS....,health personal care,household supplies,cleaning tools
B0002DGSRO,Cat-A'bout Single-Cat CatNip Plus Tub 60 grams by MiracleCorp/Gimborn,A32JO2KBIGOUVH,1344297600,"I wouldn't buy this product again if it was 'free'... I followed the directions to the letter, and all I got was a sterile cup of soil that ended up molding over time. When I tried to contact Gimborn Pet Specialties about it, noone ever responded to my emails or letters...",pet supplies,cats,toys
B000A2REDO,"NOW Foods Creatine Monohydrate 1500mg, 100 Tablets",A1RPNEPKUYUPT7,1344297600,Just got it and I can feel it working abt an hour after taking it and made me lift more and throw up more reps!,health personal care,nutrition wellness,vitamins supplements
B0006O10P4,Indigo Wild,A2QOHZ6E6BUCXW,1344297600,"Love,Love,Love this baby soap. It smells so good, and I can wash even the little guys hair with it. I got a bar as a gift, and have been going back for more :)",beauty,bath body,cleansers
B000OXI4ME,"Spindrift 144 Fleece Lined Cozy Dog Collar - Large (3/4"" x 19-23""), Brick",A3EDDM6QZV0ZB,1344297600,"I have 2 pit bulls, i used to have regular cheap nylon collars, i know they were uncomfortable for them, im very close with my dogs so they are always in my face and the collar would always catch a hair on my beard, so i know it sucked for them. i need to keep a collar on them for the Easy Defense Flea & Tick Tag that i use [...] so i got these nice collars and they are great i can feel there's no area that snags hairs, i tested that on my own face first. Only the best for my dogs.",pet supplies,dogs,collars
B00005U2HS,Battle Ravaged Spider-Man,AIJ2BICYGA6Y7,1344297600,"I've had this thing for 10 years, and in that time it has seen plenty of use. It's been dropped and flung countless times, yet it's still in great condition. It's also a very accurate representation of the final fight scene in the movie. I would recommend this to any Spidey fans looking to find a great collectible figure from the first film.",toys games,action toy figures,figures
B000A7SX0M,SENSE-ible No-Pull Dog Harness - Black Large,A4R8YXTGLP9US,1344297600,"My sister was looking for something that her bulldog could not pull out of when they took their evening walks. I saw this on Amazon and ordered it for her, because of all the positive reviews. It works great and has made thier walks much easier and pleasant.",pet supplies,dogs,collars
B0002PU7L0,Honeybee Gardens Jobacolors Eye Liner,A1PK9JYJF5Y2V6,1344297600,"I use Honeybee Gardens JobaColors Eyeliner Pencil in Jet Set as a natural eyebrow pencil. It allows me to fill in my black eyebrows for a full, natural look.I used to use Ecco Bella Eyeliner Pencil in Velvet as an eyebrow pencil but I prefer this product. Compared to Ecco Bella Eyeliner Pencil, it's cheaper, less soft/smudgy and is free of hydrogenated oils (not good for your body, may cause acne).Ingredients",beauty,makeup,eyes
B000EQGT00,Fisher-Price Little People Animal Sounds Farm,A1LN39II833RAJ,1344297600,"I purchased this farm for my son who is just under a year old. He loved to play with the one at his grandma's house (an older version purchased at a garage sale a few years back) so I thought I would buy one for our house, too. When I took it out of the box, the silo section was not connected. I connected it without too much trouble but then opened the farm and the silo fell off. It continues to fall off all of the time! I have given up trying to keep the pieces together - it is a waste of my time. The farm animals now share stalls in the barn -making it a bit harder to make the animal sounds. It appears that the toy has been ""remodeled"" to be less expensive to make. The plastic is thinner, the quality poorer, and the spaces/stalls for the animals smaller and more complicated. It is still darn cute and my son likes to play with it -it just is not the same quality it used to be.",toys games,action toy figures,playsets
B000GWLGG4,Garden of Life Primal Defense,A23A8YK4OSDZYU,1344297600,"My intent was to add this to home-made ice cream to make a sort of frozen yogurt, since I don't care for the tart yogurt taste of actual frozen yogurt. While this wasn't the best product for that purpose, since it's very green, it was extremely effective as a probiotic. I add it to water, it dissolves well, and I drink it plain. My stomach issues have been dramatically reduced by using this product. I would highly recommend this.",health personal care,nutrition wellness,vitamins supplements
B00009WO07,Pampers Baby Dry Diapers (Packaging May Vary),A3P3XVKRI25Y5I,1344297600,Pampers diapers are excellent for the babies who are sensitive to the diaper rash. they worked well on my baby skin.,baby products,diapering,disposable diapers
B0006IQK50,St.Tropez Self Tan Bronzing Mousse (select size),A2KTKS0BIV5R25,1344384000,"I'm naturally very pale, and it's been hard getting tan, sun or no sun. I used to tan in tanning beds and outdoors, I loved the color I got but was very worried about sun cancer and aging skin. So I started experimenting with many different sunless tanners, prices ranging from $5 to $60. I was disappointed with most, either they left me looking very orange or yellow and/or very streaky. I finally decided to order the St. Tropez bronzing mousse after hearing great things about it. It really does live up to the hype in my opinion; it dries quickly, gives instant color, and after showering it off the next day it looks very natural. The color didn't turn out as deep as I expected, but it was still a nice golden color and I'm sure with a second application the day after it would turn out even darker, which I have yet to try. The scent is nice, I still get the sunless tan smell the next day but it isn't as bad as some other brands I've tried. It does stain palms, so I use cheap latex gloves to apply the tanner, then use a tiny bit on the tops of my hands.The price is somewhat high, but honestly if the bronzing mousse was $100 I would still buy it so I think it's completely worth every penny. It lasts me a while if I use it 1-2 times a week. I hope they never stop making this product, and I definitely recommend it to anyone wanting natural color.",beauty,bath body,scrubs body treatments
B000LSZVKA,Fisher-Price Brilliant Basics Baby's First Blocks,A14X5RT0IG3X38,1344384000,"This toy is very durable. My granddaughter, who is 7-1/2 months, has fun playing with the pieces even if she can't quite get them in their correct holes yet.",toys games,baby toddler toys,blocks
B0006Q01EI,Hot Sock Diffuser,A3KD8JURLA4XH1,1344384000,"It sort of works? I had to tie a rubber band around my blow dryer to get it to stay on (and I have a large blow dryer) it seemed to work, I don't know. It also takes FOREVER to blow dry your hair with this. Without the sock, it takes about 5 minutes. With the sock on, it takes about 30!!",beauty,hair care,styling tools
B0002I0O60,Kyjen Hide-A-Squirrel Puzzle Toy for Dogs,A33GBJC3AINDIF,1344384000,"My lab loved the little animals - we had to buy a replacement set because he couldn't get enough of them. My Cavalier Spaniel loves the log more than the animals. She loves to put her head inside the holes and toss the log around. This toy has lasted years and multiple dogs. Totally worth the investment. The log shows some sign of where, but this is incredible considering we've had it about five years now.",pet supplies,dogs,toys
B00020I8IY,Source Naturals Spirulina Powder,A1ZK6I6VLSUJ8L,1344384000,"Haven't noticed a major difference from the rest, but its a good price and seemingly good quality. I keep it in the refrigerator to preserve freshness.",health personal care,nutrition wellness,nutrition bars drinks
B000I62MC0,"Farmer Brothers Buttermilk Pancake Mix, 5lb Bag",AL3KN5935U42D,1344384000,I love Farmer Brothers Buttermilk Pancake mix. I used it all the time when the kids were little. I used to get it form a lady that sold food form different company's out of her house. I thought they didn't make it anymore. was looking for some seasoning and ran across farmer Brothers. It is really easy to use. I would buy if your looking for something quick and easy.,grocery gourmet food,cooking baking supplies,baking mixes
B00008BFXL,Philips Sonicare E-Series Replacement Brush Head,A2GAND3NYADU3U,1344384000,"The two brush heads were in a well sealed box so they did not get damaged. They were wrapped in plastic also. They seem to work fine, no problems. Sonicare is supposed to be really good for getting rid of plaque.",health personal care,personal care,oral hygiene
B000KUHFGM,Marpac Dohm-DS Dual Speed Sound Conditioner,A2IGLH347HWAPQ,1344384000,"I own a condo and unfortunately some young renters moved in above me and they are obnoxiously loud at all hours. They act like they live in a dorm! I was hoping this item would help to drown out some of the noise, but it doesn't at all. It just sounds like a box fan turned on low even with all the holes opened up on it. I actually bought a Homedics Nature Sound Machine with volume control that works 10x better than this thing! I need to return this because it's not worth the $50 and change. I am very dissapointed because it got such good reviews. It doesn't drown out anything. I had it on high and I heard a truck drive by and the sound was the same as if it was turned off. I really can't think of who would benefit from this thing! It's definitely not good for apartment or condo living that's for sure!",health personal care,baby child care,health care
B000H7MMP2,Macks safe sound soft foam earplugs -10 pair,A2QB6XV3WN62RZ,1344384000,"I work nights, and I live in a house with a very noisy family with a 3 year old and this was the solution to all my problems. I have tried a lot of different brands, and different types of earplugs within this same brand and none of them worked as good as these ones.It is true they only last around 3 or 4 uses in my case but the box is quite cheap and well worth it.I do have one ear canal smaller than the other one, on one ear they fit perfectly and in the other they hurt a bit and ended up not fitting well at all but I figured that an option (which I don't know how it would work for everybody but that's what I did) was to flat out the earplug and cut just A LITTLE bit with scissors and they would fit perfectly. The noise is not blocked as perfectly as with the other one but it is still a huge difference if you learn how much you need to cut. I might be the weird one here but it might be helpful for some people that couldn't make them fit. And in my case I tried smaller ones but they didn't block the noise at all in my compared to these ones",health personal care,health care,unknown
B000HG84EQ,"Stretch Island Original Fruit Leather, Summer Strawberry, 0.5-Ounce Bars (Pack of 30)",A3NYUE8UIK3DOO,1344384000,"I love this snack, it's not too sugary and is healthy for the kids. I would recommend this any day over fruit rollup or other similar products.",grocery gourmet food,snack food,fruit leather
B0002H3SCI,Cardinal Laboratories Crazy Pet Bumble Ball (Various Colors),A2EK6T5NWE6JVO,1344384000,"so far, it is working and my puppy loves the toy. I'm affraid when the batteries need to be changed, but it is not happening yet. We have it for a month and probably played for 10 min. It made well and light enough so that little westy can carry.",pet supplies,dogs,toys
B000NOKX4Q,Lady-Comp Fertility Monitor - Fahrenheit,A36R5LHA5EESGR,1344384000,"My husband and I decided we were ready to start a family in early 2011. I began keeping track of my monthly menstral cycle and tried various fertility methods like urination strips/sticks. we also spoke with our doctors and informed them about what we were trying to accomplish. After 7 months and no progress, my husband purchased this product after reading many positive reviews. I started using lady-comp the week following christmas 2011. I followed all the instructions",health personal care,health care,family planning contraceptives
B0007V63D0,Barbie Collector Pink Label - Dolls of the World - Princess of the Pacific Islands,A16C0D6BZZFSIF,1344384000,"The Barbie doll looks different compared to the picture. It is not exactly shown on the picture. Th really one looks much more used. I don't like this product but since I don't want to pay shipping for returning, I decided to keep it.",toys games,dolls accessories,dolls
B000KKKNT8,"Finish Powerball Tablets, Orange Scent",A2CG4JBROLYXXP,1344384000,Ive been gettting these through Subscribe and Save for a while. Does a great job cleaning the dishes. Couple it with Finish drying agent and you are in great shape. My only complaint is that the red ball falls out of the other piece more than it stays in so you have to be careful handling them or you will be chasing it around your kitchen.,health personal care,household supplies,dishwashing
B0000U1OFK,"Huichol Hot Sauce, 6.5 oz.",A3L8ZWS9Z6AJGH,1344384000,A must purchase if you love good flavors. This sauce is unique to a small region in Mexico. I credit Amazon for supplying it! Give it a try...it's very tasty!,grocery gourmet food,pantry staples,sauces
B0007YEHSU,Worlds Freshest Spray Millet 5 Pound Box Nemeth Farms the Original,A2MBJ2J5RC9AOO,1344384000,"I agree with others that shipping the sprays in a plastic bag within the box would be terrific. That said, my sprays were huge, 2-3 inches longer than my store-bought brand from Petco. They were fresh and had long stems that can be tied together with a rubberband and hung from the top of the cage. My birds luv millet, but they really went after this light-golden variety. The sprays are very clean. I highly recommend this product.",pet supplies,birds,food
B0001XJUSY,Badger Basket Company Natural Baby Moses Basket,A2R7OPGUWBJ3FK,1344384000,I was scared to let my baby sleep in the basket at night b/c I was scared he would get pushed up against the sides. Good for napping though. Can't beat the price.,baby products,nursery,unknown
B000BZXM3Q,Champion Nutrition Ultramet,A21NJPEIUNJR7X,1344384000,"This is, for me, a great meal replacement product to be used both pre-workout in a blended fruit and yogurt drink and post workout by itself. The best price I have found is here on Amazon and will purchase again as I have in the past.",health personal care,nutrition wellness,unknown
B00076MPVY,"Syntrax Nectar Whey Protein Isolate, Powder",A1LKKYVBLD6H0K,1344384000,"I've tried a good number of protein powders in the last 30+ years. The taste of protein powders, in my opinion are bad. So bad in fact that it has been difficult for me to be consistent in their consumption. The health food stores always steer you towards their latest greatest powders. When asked what type of feedback they have been getting as far as taste goes, they always reply ""good."" I am never that enthusiastic because when I try them they have a chemical taste, such as Muscle Milk does, or some other bad taste that ends up tasting terrible to me in about the second week.The Nectar Cappuccino is a different story. I mix it with 2% milk. I've solved my protein powder problem.",health personal care,nutrition wellness,nutrition bars drinks
B000AP6R6Q,Optimum Mega Potency HMB,AUXM0JXUPIJ4I,1344384000,"This supplement work pretty good in helping increase lean mass, I did an expirment and did not take this a few weeks and notice my fat burning was not doing as a good job without this suppplement, , so for best value go with this, for best hmb supplement I have personally tried go with the eas version, they used to call it betagen but I belive it has new name for it, the eas has hmb and creatine so thus of course should work better",health personal care,nutrition wellness,sports supplements
B000OXAEJA,"PetSafe Freedom Door, Premium White",A3BCBQCV55GRHF,1344384000,"Easy enough to install. Works great as long as you keep the areas where the magnetic strips make contact with the metal clean. I give the door a detailed cleaning about once a week. Replacement flaps are over priced in my opinion. However, I have had the same door for about three years and have only had to replace the flap once. The door has held up to my 2 Shelties and a German Shepherd that I am caring for until it's owner returns from overseas. Just moved so I purchased the same door and installed it at my new residence as it has been a good door overall.",pet supplies,cats,cat flaps
B000PNCFK0,Catalina Titanium Heater 500 Watt,A1ORZVQS8C1VVT,1344384000,This was a total surprise in how accurate it is. Only wish they had an 800watt for my 180 reef. But do use it with another heater. The other heater only goes on if for some reason the temp drops over a degree which has not happened yet.A++++++++++++ Can you say bargain....,pet supplies,fish aquatic pets,aquarium heaters
B000BK9UE6,Mud Pie Baby Piggy Bank,A1J6OSW86B6P2,1344384000,"So, this is actually the second one we've had. The first one I received as a gift for my baby shower, for my now 4 year old. Her 1 year old younger sister got a hold of it and through it on the ground. Yes, it will break if you throw it on the ground. So, as a I frantically ran to the internet to find an identical replacement, I turned to Amazon. I was so happy to find the exact same piggy bank. My 4 year old was so happy to have it back. Very cute decoration for her room, and of course, she loves to put her money in it.",baby products,gifts,toy banks
B000PKPFGE,SmartScoop No-Stick Litter Box Spray,A20YM3S908A9T3,1344384000,"I sprayed this stuff on when I first bought my boxes and several months later I still haven't had to reapply. My cat's are fans of making the litter clump at the bottom of the box, but with this spray it's not hard to get off. I also recommend you spray your scooper! Great product!",pet supplies,cats,litter housebreaking
B000EF1FUA,"Method Daily Shower Spray, Ylang-Ylang Formula, 28-Ounce Bottles (Pack of 8)",A56GCU0J3Y416,1344384000,"I just bought this to try on my bathtub because we always get ""pink mold"" even though I clean our tub every 2 weeks. I heard this should be very effective against that. Will update on its effectively but in the mean time just want to let those who are interested that this can be found cheaper at Target",health personal care,household supplies,household cleaning
B00018YJRG,Jobst SupportWear Ultra Sheer Knee High,AHRYDAHVEQDJX,1344384000,"These knee highs were great the first time I wore them. After a few uses, the top band would not hold them up anymore, and they sagged. Good feel on your foot, good color, sheer enough.",health personal care,medical supplies equipment,braces
B000EADBF2,30' Large Dog Tie Out Cable Leash,A3RPKDGO47DS2O,1344384000,"Great product! Bought many in pet stores and latches failed in less than 8 mos. The cable color fades in the Florida sun, but latch remains pliable in the wet summers. Will order again!",pet supplies,dogs,training behavior aids
B0002AQJEY,Marina Black Coarse Nylon Fish Net,A2RAE8ML6FWUBS,1344384000,"It's a fish net, not much to say about it, I got it on here for cheaper than pet stores and it does what it's supposed to do.",pet supplies,fish aquatic pets,cleaners
B00092M2VO,Andis 1875 Watt Professional Ceramic Ionic Hair Dryer,A3LQHJVCSAEBTJ,1344384000,"I downgraded from a Chi (that burnt out after about two years) and a higher priced dryer from a beauty supply store, and I would recommend this mid-priced dryer as well as any of them.It does not seem overly heavy to me, as other reviewers have noticed, nor have I had issues with accidentally hitting the temperature or off switches because of their placement. It does get very, very hot on the ""hot"" setting, but the ""warm"" setting is just as good if you can't take the heat.Few reviewers have mentioned the extra-long cord, which is a major positive selling point for me. All in all, I've decided it's crazy to spend up to $150 or even $75 on a dryer when this ~$40 one works just as well if not better and has the extra long cord.",beauty,hair care,styling tools
B0002DHV16,Cat Dancer 301 Cat Charmer Interactive Cat Toy,A2EJB5CVLSGNGW,1344384000,Cats love it! Certain cats may not like this type of toy as they like to have the small ones to kick and scratch around with.,pet supplies,cats,toys
B0009QWAQC,Prairie View Industries Portable Singlefold Ramp,A1JGMVD2UVRIWN,1344470400,"These are perfect for us! I got tired of borrowing a friend's ramps to load my husband's electric wheelchair so I bought these. He used them for his bus trip to Canada with my daughter's GS troop. They are lightweight enough that my husband and the kids could lift them, but sturdy enough that they handled the weight of the wheelchair. We stand ours up on end for storage so they don't take up a lot of space - they might even fit behind a piece of furniture.My only dislike with these ramps is that the handle could be a little more ergonomic/comfortable. It's not bad if you're just picking them up, but if you have to carry them any distance (i.e. from the house/hotel to the car) your hand will probably hurt a little.Overall, I am quite happy with these ramps.",health personal care,medical supplies equipment,daily living aids
B000PHNWRG,Mustela Bebe Multi Sensory Bubble Bath,A1DIJLFM5R9KRD,1344470400,"I know it's supposed to be for babies but I just love this bubble bath! It smells clean, like soap, and not all perfume-y. The whole bathroom smells great afterwards - too bad I can't get the whole house to smell like this or I'd never leave home, lol.",beauty,bath body,bath
B0002402IO,Hair No More Hair No More Inhibitor,A2UN1Z8MBKH4U9,1344470400,I have to delete my previous recommendation of this product. The new stuff I got isn't the same formula - it smells bad enough that I can't use it. For someone not sensitive to odors it may be okay.,health personal care,personal care,shaving hair removal
B00000JHQC,Duracell Coppertop Alkaline Batteries,AF79D51F13FFZ,1344470400,"This is a good product at a good price. Duracell batteries are the way to go. They are very reliable, long lasting, and cheap. You can't get better batteries for cheaper. I have used Duracell batteries for years and always found them to be reliable for powering all kinds of electronic devices, and long lasting enough not to break the bank. I have also never had a problem with leakage.",health personal care,household supplies,household batteries
